39 60
0 1 93
1 2 66
2 3 63
3 4 74
4 5 209
5 6 77
6 7 49
7 8 189
8 9 219
9 10 134
10 11 79
11 12 66
12 13 65
13 14 64
14 15 194
15 16 230
16 17 65
17 18 99
18 0 378
19 20 217
20 21 205
22 11 75
23 24 218
24 25 228
25 26 55
26 10 75
27 28 68
28 29 68
29 30 152
30 31 225
32 33 167
33 34 144
34 35 59
35 8 69
36 37 177
1 27 219
27 17 186
2 28 232
28 23 60
23 19 59
19 16 78
4 36 64
36 32 60
32 29 48
5 37 56
37 33 56
33 30 67
30 24 69
24 20 60
20 15 69
5 35 173
35 38 150
38 26 122
26 22 79
22 13 78
37 34 152
34 31 92
31 25 105
25 21 66
21 14 78
3 3
3 23 30
