i,v.size(),v.capacity()
1,0,0
2,1,1
3,2,2
4,3,4
5,4,4
6,5,8
7,6,8
8,7,8
9,8,8
10,9,16
11,10,16
12,11,16
13,12,16
14,13,16
15,14,16
16,15,16
17,16,16
18,17,32
19,18,32
20,19,32
21,20,32
22,21,32
23,22,32
24,23,32
25,24,32
26,25,32
27,26,32
28,27,32
29,28,32
30,29,32
31,30,32
32,31,32
33,32,32
34,33,64
35,34,64
36,35,64
37,36,64
38,37,64
39,38,64
40,39,64
41,40,64
42,41,64
43,42,64
44,43,64
45,44,64
46,45,64
47,46,64
48,47,64
49,48,64
50,49,64
51,50,64
52,51,64
53,52,64
54,53,64
55,54,64
56,55,64
57,56,64
58,57,64
59,58,64
60,59,64
61,60,64
62,61,64
63,62,64
64,63,64
65,64,64
66,65,128
67,66,128
68,67,128
69,68,128
70,69,128
71,70,128
72,71,128
73,72,128
74,73,128
75,74,128
76,75,128
77,76,128
78,77,128
79,78,128
80,79,128
81,80,128
82,81,128
83,82,128
84,83,128
85,84,128
86,85,128
87,86,128
88,87,128
89,88,128
90,89,128
91,90,128
92,91,128
93,92,128
94,93,128
95,94,128
96,95,128
97,96,128
98,97,128
99,98,128
100,99,128
101,100,128
102,101,128
103,102,128
104,103,128
105,104,128
106,105,128
107,106,128
108,107,128
109,108,128
110,109,128
111,110,128
112,111,128
113,112,128
114,113,128
115,114,128
116,115,128
117,116,128
118,117,128
119,118,128
120,119,128
121,120,128
122,121,128
123,122,128
124,123,128
125,124,128
126,125,128
127,126,128
128,127,128
129,128,128
130,129,256
131,130,256
132,131,256
133,132,256
134,133,256
135,134,256
136,135,256
137,136,256
138,137,256
139,138,256
140,139,256
141,140,256
142,141,256
143,142,256
144,143,256
145,144,256
146,145,256
147,146,256
148,147,256
149,148,256
150,149,256
151,150,256
152,151,256
153,152,256
154,153,256
155,154,256
156,155,256
157,156,256
158,157,256
159,158,256
160,159,256
161,160,256
162,161,256
163,162,256
164,163,256
165,164,256
166,165,256
167,166,256
168,167,256
169,168,256
170,169,256
171,170,256
172,171,256
173,172,256
174,173,256
175,174,256
176,175,256
177,176,256
178,177,256
179,178,256
180,179,256
181,180,256
182,181,256
183,182,256
184,183,256
185,184,256
186,185,256
187,186,256
188,187,256
189,188,256
190,189,256
191,190,256
192,191,256
193,192,256
194,193,256
195,194,256
196,195,256
197,196,256
198,197,256
199,198,256
200,199,256
201,200,256
202,201,256
203,202,256
204,203,256
205,204,256
206,205,256
207,206,256
208,207,256
209,208,256
210,209,256
211,210,256
212,211,256
213,212,256
214,213,256
215,214,256
216,215,256
217,216,256
218,217,256
219,218,256
220,219,256
221,220,256
222,221,256
223,222,256
224,223,256
225,224,256
226,225,256
227,226,256
228,227,256
229,228,256
230,229,256
231,230,256
232,231,256
233,232,256
234,233,256
235,234,256
236,235,256
237,236,256
238,237,256
239,238,256
240,239,256
241,240,256
242,241,256
243,242,256
244,243,256
245,244,256
246,245,256
247,246,256
248,247,256
249,248,256
250,249,256
251,250,256
252,251,256
253,252,256
254,253,256
255,254,256
256,255,256
257,256,256
258,257,512
259,258,512
260,259,512
261,260,512
262,261,512
263,262,512
264,263,512
265,264,512
266,265,512
267,266,512
268,267,512
269,268,512
270,269,512
271,270,512
272,271,512
273,272,512
274,273,512
275,274,512
276,275,512
277,276,512
278,277,512
279,278,512
280,279,512
281,280,512
282,281,512
283,282,512
284,283,512
285,284,512
286,285,512
287,286,512
288,287,512
289,288,512
290,289,512
291,290,512
292,291,512
293,292,512
294,293,512
295,294,512
296,295,512
297,296,512
298,297,512
299,298,512
300,299,512
301,300,512
302,301,512
303,302,512
304,303,512
305,304,512
306,305,512
307,306,512
308,307,512
309,308,512
310,309,512
311,310,512
312,311,512
313,312,512
314,313,512
315,314,512
316,315,512
317,316,512
318,317,512
319,318,512
320,319,512
321,320,512
322,321,512
323,322,512
324,323,512
325,324,512
326,325,512
327,326,512
328,327,512
329,328,512
330,329,512
331,330,512
332,331,512
333,332,512
334,333,512
335,334,512
336,335,512
337,336,512
338,337,512
339,338,512
340,339,512
341,340,512
342,341,512
343,342,512
344,343,512
345,344,512
346,345,512
347,346,512
348,347,512
349,348,512
350,349,512
351,350,512
352,351,512
353,352,512
354,353,512
355,354,512
356,355,512
357,356,512
358,357,512
359,358,512
360,359,512
361,360,512
362,361,512
363,362,512
364,363,512
365,364,512
366,365,512
367,366,512
368,367,512
369,368,512
370,369,512
371,370,512
372,371,512
373,372,512
374,373,512
375,374,512
376,375,512
377,376,512
378,377,512
379,378,512
380,379,512
381,380,512
382,381,512
383,382,512
384,383,512
385,384,512
386,385,512
387,386,512
388,387,512
389,388,512
390,389,512
391,390,512
392,391,512
393,392,512
394,393,512
395,394,512
396,395,512
397,396,512
398,397,512
399,398,512
400,399,512
401,400,512
402,401,512
403,402,512
404,403,512
405,404,512
406,405,512
407,406,512
408,407,512
409,408,512
410,409,512
411,410,512
412,411,512
413,412,512
414,413,512
415,414,512
416,415,512
417,416,512
418,417,512
419,418,512
420,419,512
421,420,512
422,421,512
423,422,512
424,423,512
425,424,512
426,425,512
427,426,512
428,427,512
429,428,512
430,429,512
431,430,512
432,431,512
433,432,512
434,433,512
435,434,512
436,435,512
437,436,512
438,437,512
439,438,512
440,439,512
441,440,512
442,441,512
443,442,512
444,443,512
445,444,512
446,445,512
447,446,512
448,447,512
449,448,512
450,449,512
451,450,512
452,451,512
453,452,512
454,453,512
455,454,512
456,455,512
457,456,512
458,457,512
459,458,512
460,459,512
461,460,512
462,461,512
463,462,512
464,463,512
465,464,512
466,465,512
467,466,512
468,467,512
469,468,512
470,469,512
471,470,512
472,471,512
473,472,512
474,473,512
475,474,512
476,475,512
477,476,512
478,477,512
479,478,512
480,479,512
481,480,512
482,481,512
483,482,512
484,483,512
485,484,512
486,485,512
487,486,512
488,487,512
489,488,512
490,489,512
491,490,512
492,491,512
493,492,512
494,493,512
495,494,512
496,495,512
497,496,512
498,497,512
499,498,512
500,499,512
501,500,512
502,501,512
503,502,512
504,503,512
505,504,512
506,505,512
507,506,512
508,507,512
509,508,512
510,509,512
511,510,512
512,511,512
513,512,512
514,513,1024
515,514,1024
516,515,1024
517,516,1024
518,517,1024
519,518,1024
520,519,1024
521,520,1024
522,521,1024
523,522,1024
524,523,1024
525,524,1024
526,525,1024
527,526,1024
528,527,1024
529,528,1024
530,529,1024
531,530,1024
532,531,1024
533,532,1024
534,533,1024
535,534,1024
536,535,1024
537,536,1024
538,537,1024
539,538,1024
540,539,1024
541,540,1024
542,541,1024
543,542,1024
544,543,1024
545,544,1024
546,545,1024
547,546,1024
548,547,1024
549,548,1024
550,549,1024
551,550,1024
552,551,1024
553,552,1024
554,553,1024
555,554,1024
556,555,1024
557,556,1024
558,557,1024
559,558,1024
560,559,1024
561,560,1024
562,561,1024
563,562,1024
564,563,1024
565,564,1024
566,565,1024
567,566,1024
568,567,1024
569,568,1024
570,569,1024
571,570,1024
572,571,1024
573,572,1024
574,573,1024
575,574,1024
576,575,1024
577,576,1024
578,577,1024
579,578,1024
580,579,1024
581,580,1024
582,581,1024
583,582,1024
584,583,1024
585,584,1024
586,585,1024
587,586,1024
588,587,1024
589,588,1024
590,589,1024
591,590,1024
592,591,1024
593,592,1024
594,593,1024
595,594,1024
596,595,1024
597,596,1024
598,597,1024
599,598,1024
600,599,1024
601,600,1024
602,601,1024
603,602,1024
604,603,1024
605,604,1024
606,605,1024
607,606,1024
608,607,1024
609,608,1024
610,609,1024
611,610,1024
612,611,1024
613,612,1024
614,613,1024
615,614,1024
616,615,1024
617,616,1024
618,617,1024
619,618,1024
620,619,1024
621,620,1024
622,621,1024
623,622,1024
624,623,1024
625,624,1024
626,625,1024
627,626,1024
628,627,1024
629,628,1024
630,629,1024
631,630,1024
632,631,1024
633,632,1024
634,633,1024
635,634,1024
636,635,1024
637,636,1024
638,637,1024
639,638,1024
640,639,1024
641,640,1024
642,641,1024
643,642,1024
644,643,1024
645,644,1024
646,645,1024
647,646,1024
648,647,1024
649,648,1024
650,649,1024
651,650,1024
652,651,1024
653,652,1024
654,653,1024
